,nameRest,latitudeRest,longitudeRest,rating,code
260,Tacos Tequila Whiskey,39.7403831481934,-104.959533691406,4.0,CO
261,Guadalajara Mexican Restaurant,39.82754,-105.02161,4.5,CO
262,Chakas Mexican Restaurant,39.67894,-104.91588,4.5,CO
263,Dos Santos,39.74341,-104.96919,4.0,CO
264,Otra Vez Cantina,39.7446530620186,-104.991783834994,4.0,CO
265,La Loteria Taqueria,39.7158,-104.9873,4.5,CO
266,7 Leguas Mexican Grille,39.739974,-104.934039,4.0,CO
267,Los Cuates Mexican Restaurant,39.73352,-104.88433,5.0,CO
268,Los Carboncitos,39.76914,-105.00665,4.0,CO
269,Super Mega Bien,39.75733,-104.9863699,4.5,CO
270,La Abeja,39.7399,-104.98079,4.5,CO
271,3 Girasoles,39.7643949575026,-104.952556192875,4.5,CO
272,Chili Shack,39.7404724657143,-105.096671004797,3.5,CO
273,Machete Tequila + Tacos,39.72124,-104.9543,4.0,CO
274,Tamayo,39.74733455329732,-104.99956317056962,4.0,CO
275,Perdida - Denver,39.697193,-104.961506,4.0,CO
276,Machete Tequila + Tacos,39.739801,-104.945361,4.0,CO
277,Tacos El Metate,39.678958,-104.959077,4.5,CO
278,Tarasco's,39.70801,-105.02469,4.5,CO
279,Uno Mas Taqueria,39.7254099,-104.97786,4.0,CO
280,Adelitas Cocina Y Cantina,39.69332,-104.987145,4.0,CO
281,El Callejon,39.7553,-105.220922,4.5,CO
282,Rioja,39.7478083125095,-104.999331349925,4.5,CO
283,100% de Agave,39.7318820372198,-104.98641371727,3.5,CO
284,D'Corazon,39.7499084472656,-104.999519348145,4.0,CO
285,Necio Mexican Kitchen,39.7719147186158,-105.011452532102,4.5,CO
286,Little Anita's,39.68845158340137,-104.93996929964115,4.0,CO
287,Blue Agave Grill,39.748831,-104.996582,4.0,CO
288,Las Tortas,39.70809,-104.92546,4.5,CO
289,Camila's Mexican Grill,39.7598,-104.98425,4.5,CO
290,Kachina Cantina - Denver,39.7537748921597,-104.996429128836,4.0,CO
291,Los Dos Potrillos,39.56658216708932,-104.924394,4.0,CO
292,Los Molinos Restaurant,39.7646349,-104.9681066,4.0,CO
293,Toro Latin Kitchen & Lounge,39.718957,-104.955457,4.5,CO
294,Casa Don Juan,39.7892643527715,-104.977995269001,4.5,CO
295,Work & Class,39.75761,-104.98604,4.5,CO
296,La Doña Mezcaleria,39.693149,-104.987019,4.5,CO
297,Casa Mariachi,39.53926,-104.76986,4.0,CO
298,Garibaldi Mexican Bistro,39.657203,-104.987236,4.5,CO
299,Mile High on the Fly,39.7274,-104.98597,4.5,CO
300,Fogata Mexican Restaurant,41.766522,-72.712106,4.5,CT
301,El Nuevo Sarape Restaurant,41.7567139,-72.6873383,4.0,CT
302,Monte Alban Restaurant,41.7662633,-72.7097456,4.0,CT
303,Agave Grill,41.768546,-72.6782116,3.5,CT
304,Taqueria La Grande,41.757686,-72.7222181,4.5,CT
305,El Pollo Guapo,41.7626800556192,-72.6714269815767,4.5,CT
306,El Mercado,41.7582,-72.68868,4.0,CT
307,Ocho Cafe,41.7843256,-72.7465883,4.0,CT
308,Puerto Vallarta - Newington,41.68682,-72.7086099,4.0,CT
309,Frida,41.73281,-72.73474,4.0,CT
310,Toro Taberna,41.75737,-72.72215,4.0,CT
311,Salsas 4 Taqueria,41.684597,-72.708385,4.5,CT
312,Agave's Taqueria,41.7662471346703,-72.6728839010511,4.0,CT
313,bartaco - West Hartford,41.76096,-72.74341,4.0,CT
314,Fuego Picante Food Truck,41.7631292,-72.6774979,4.5,CT
315,El Pollo Guapo,41.70963,-72.60211,4.5,CT
316,El Senor De Los Tamales,41.7437,-72.67601,4.5,CT
317,MexiPHO,41.7216304764136,-72.6139745037049,4.0,CT
318,La Casita Del Sabor,41.758005,-72.7016367,4.5,CT
319,Cora Cora,41.728683942227,-72.7208279474441,4.5,CT
320,El Pollo Guapo,41.7030469,-72.702149,4.5,CT
321,Coyote Flaco Mexican Food,41.7337567,-72.7021703,4.0,CT
322,Margaritas Mexican Restaurant,41.7686847297583,-72.6215071480661,3.0,CT
323,Las Tortas MX,41.75856,-72.7018,5.0,CT
324,Tequila Rio,41.713913,-72.643611,3.0,CT
325,Salsa Fresca Mexican Grill,41.78508,-72.748417,4.5,CT
326,Melina's Restaurant,41.7782322503177,-72.6181828603148,4.0,CT
327,Donde Julio Restaurant- Hartford,41.7572218,-72.6774022,4.5,CT
328,La Güera Food Truck,41.75184,-72.71049,5.0,CT
329,Food truck american & mexican tasty flavors,41.74059,-72.68367,5.0,CT
330,Que Chivo,41.758673,-72.701851,4.5,CT
331,El Bajio Restaurant,41.742449,-72.6764327,4.0,CT
332,Cisco's American Breakfast & Mexican Cuisine,41.7180156,-72.7174877,4.0,CT
333,Burrito Loko,41.75856,-72.7018,3.5,CT
334,Max Downtown,41.766767,-72.676782,4.0,CT
335,Nicolas Pizza & Mexican Eatery,41.68359,-72.73089,4.0,CT
336,The Spicy Green Bean,41.7140754885517,-72.6046942714442,4.0,CT
337,Little River Restoratives,41.7636674445296,-72.6889854612039,4.5,CT
338,Loco Urban Street Food,41.757372,-72.722041,3.0,CT
339,River: A Waterfront Restaurant & Bar,41.71366,-72.6445899,3.5,CT
340,Moe's Southwest Grill,41.7665647936312,-72.6726708001408,2.5,CT
341,El Nopal Mexican Restaurant,41.7565,-72.71129,5.0,CT
342,The Flying Monkey Grill Bar,41.696756,-72.705452,4.0,CT
343,The Kitchen,41.7619257,-72.6869584,4.5,CT
344,The Corner Pug,41.730542268783,-72.725773590701,3.5,CT
345,Rooster Co.,41.69718,-72.72316,4.0,CT
346,Moe's Southwest Grill,41.786368635997086,-72.74625748459482,1.5,CT
347,Barcelona Wine Bar,41.760965,-72.743409,4.5,CT
348,J. Gilbert's Wood-Fired Steaks & Seafood Glastonbury,41.721414,-72.622947,4.5,CT
349,Tisane Euro Asian Cafe,41.766,-72.7101799,4.0,CT
350,Taqueria Habanero,38.93755,-77.03309,4.5,DC
351,Paraíso Taqueria & Mezcaleria,38.882393554287574,-76.99135478102832,4.5,DC
352,El Sol Restaurant & Tequileria,38.9066,-77.02667,4.0,DC
353,Republic Cantina,38.90745,-77.01086,4.0,DC
354,DC Corazon,38.93890303374206,-77.032442,4.5,DC
355,Mexicue,38.913338,-77.032387,4.0,DC
356,Oyamel,38.89495,-77.02167,3.5,DC
357,Las Placitas,38.87734,-76.9947,4.0,DC
358,Rosa Mexicano,38.78458381349936,-77.01661819999978,3.5,MD
359,Mi Vida Restaurante,38.8799058,-77.025148,4.0,DC
360,El Papi Real Street Tacos,38.80141,-76.90533,4.0,MD
361,El Centro,38.90569,-77.06303,3.0,DC
362,Los Tios Grill,38.8291015625,-77.0588684082031,4.0,VA
363,Mezcalero,38.93763,-77.03309,4.0,DC
364,Mission,38.91149,-77.04519,4.0,DC
365,Pisco Y Nazca,38.90398223,-77.0426388,4.5,DC
366,Espita,38.907123783324,-77.0241962192309,4.0,DC
367,La Cosecha,38.909007,-76.9996115,4.5,DC
368,MXDC Cocina Mexicana,38.897488,-77.03196,3.5,DC
369,District Taco,38.897612120590445,-77.03013522122241,4.0,DC
370,Cactus Cantina,38.93371,-77.07271,3.5,DC
371,Mi Casa,38.91246346833517,-77.04466236600175,4.0,DC
372,Taqueria & Rosticeria Fresca,38.89992,-76.99596,3.5,DC
373,dLeña,38.902279,-77.018701,4.5,DC
374,Rosa Mexicano,38.89686298800688,-77.02164548404512,3.5,DC
375,Tequila & Mezcal,38.93442,-77.03244,4.5,DC
376,El Bebe Tacos + Tequila,38.87629,-77.00629,4.0,DC
377,Don Taco,38.805096,-77.048502,4.0,VA
378,Taqueria Xochi,38.916845,-77.0249722,4.5,DC
379,Taqueria La Placita,38.9504547119141,-76.9261474609375,4.0,MD
380,Casa Oaxaca,38.98834,-77.09693,4.0,MD
381,Tortas Y Tacos La Chiquita,38.86258,-77.08744,4.5,VA
382,Surfside,38.943537,-77.077791,4.0,DC
383,Taco Bamba,38.901996,-77.205455,4.5,VA
384,Taqueria Habanero,38.991233,-76.932476,4.5,MD
385,Tico DC,38.9165859109143,-77.0321365079346,4.0,DC
386,Lauriol Plaza,38.9152067,-77.0415179,3.5,DC
387,Uncle Julio's,38.8824607324308,-77.1129603299939,3.5,VA
388,Bandit Taco,38.91678,-77.03712,4.0,DC
389,Agua 301,38.87327,-77.001714,3.5,DC
